,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
37,PNJ,94.5,2021-08-16,PNJ,94.5,2021-08-16,0.0,3.0
38,PNJ,94.5,2021-08-13,PNJ,95.0,2021-08-13,-0.5,2.0
39,PNJ,94.5,2021-08-12,PNJ,95.9,2021-08-12,-1.4000000000000057,2.0
40,PNJ,95.4,2021-08-11,PNJ,95.8,2021-08-11,-0.3999999999999915,2.0
41,PNJ,95.8,2021-08-10,PNJ,96.3,2021-08-10,-0.5,2.0
42,PNJ,96.5,2021-08-09,PNJ,97.5,2021-08-09,-1.0,2.0
43,PNJ,96.2,2021-08-06,PNJ,95.4,2021-08-06,0.7999999999999972,1.0
44,PNJ,95.8,2021-08-05,PNJ,96.1,2021-08-05,-0.29999999999999716,2.0
45,PNJ,96.5,2021-08-04,PNJ,97.8,2021-08-04,-1.2999999999999972,2.0
46,PNJ,96.5,2021-08-03,PNJ,96.5,2021-08-03,0.0,3.0
47,PNJ,95.6,2021-08-02,PNJ,95.7,2021-08-02,-0.10000000000000853,2.0
48,PNJ,95.8,2021-07-30,PNJ,92.6,2021-07-30,3.200000000000003,1.0
49,PNJ,93.0,2021-07-29,PNJ,92.9,2021-07-29,0.09999999999999432,1.0
50,PNJ,90.1,2021-07-28,PNJ,90.1,2021-07-28,0.0,3.0
51,PNJ,90.1,2021-07-27,PNJ,91.9,2021-07-27,-1.8000000000000114,2.0
52,PNJ,90.7,2021-07-26,PNJ,90.9,2021-07-26,-0.20000000000000284,2.0
53,PNJ,91.0,2021-07-23,PNJ,93.9,2021-07-23,-2.9000000000000057,2.0
54,PNJ,93.1,2021-07-22,PNJ,91.0,2021-07-22,2.0999999999999943,1.0
55,PNJ,91.2,2021-07-21,PNJ,91.0,2021-07-21,0.20000000000000284,1.0
56,PNJ,92.0,2021-07-20,PNJ,92.5,2021-07-20,-0.5,2.0
57,PNJ,91.6,2021-07-19,PNJ,95.0,2021-07-19,-3.4000000000000057,2.0
58,PNJ,96.0,2021-07-16,PNJ,96.0,2021-07-16,0.0,3.0
